,Latent Variable,,,,,,
,,,,,,,
,,,,,,,
,Latent Variable,,,,,,
,,,,,,,
,Case ID,Attitude Toward Local Brand (ATLB),Consumer Ethnocentrism (CET),Gov. Buy Local Campaign Effectiveness  (PBLCE),Local Fashion Brand Love (LFBL),Perceived Price Fairness (PPF),Perceived Product Quality (PPQ)
,52,-1.47547579892639,-0.381180039762983,-0.98960623498316,-0.63973112791036,-0.0629961589784042,-0.8611597252048
,53,-0.413352528112508,-0.375869802341343,-3.13884132805944,0.159711913005685,0.129784249811649,-3.28750697247508
,54,0.69818162924711,-0.98206594636242,1.33008318867797,0.733746367156183,-1.25577456108555,-0.181044925166124
,55,-0.902058081268121,-1.16283498794105,-0.218118968470771,-0.111095559298493,-0.970738471285251,-0.420447851611808
,56,0.69877516542447,1.17981098939846,1.33008318867797,-1.27015420981191,1.24097071248793,0.194780736363996
,57,1.50658671659615,-0.434290471233484,1.33008318867797,-0.0758979892336156,-0.513628137312278,-0.112833557623906
,58,1.50658671659615,1.17981098939846,1.33008318867797,-0.653779552754732,1.24097071248793,0.669785586516457
,59,-0.665305014220154,0.63734575169117,1.04385765161119,0.15062369911232,0.691604697504716,-1.46266783997326
,60,0.155824425025636,0.108974562100149,0.757632114544418,-0.111095559298493,0.0451430535206738,-0.112833557623906
,61,-0.109629921924566,-0.1802069170201,-0.159558316901167,-0.123198403091304,-0.242942293139739,1.23700072472545
,62,-0.109629921924566,-1.41691854215443,-0.159558316901167,0.202884323921016,-1.24142431545779,0.43362138235481
,63,1.50658671659615,0.108974562100149,-3.06733984225012,-1.5459218930671,0.0451430535206738,1.23700072472545
,64,-0.401910094407698,0.978380676593854,-0.159558316901167,0.442580316637002,1.61674651229944,-0.12719046869326
,65,-0.653562774118534,-0.366743386082099,-1.63490889158331,-0.706040177563428,0.0451430535206738,-0.970703794329429
,66,0.167566665127256,0.155060580399216,-1.6491998224803,-1.5459218930671,0.685248778515096,-0.663089500341527
,67,0.167866471524067,0.745758189232789,-0.732042168543126,0.978402570823177,1.26472613396543,-1.20630571803621
,68,-1.16781223461513,-0.0717944794784814,-0.504377283045954,0.442580316637002,0.330179143320971,0.505633752635934
,69,-2.24137793913382,-2.1875853969403,-0.159558316901167,0.407382746572125,-1.52646040525809,0.310919120477712
,70,-1.19415428098281,0.403923468703766,-1.8236768443814,-0.397020505294927,0.330179143320971,0.419264471285456
,71,-0.109629921924566,0.341597049461214,0.398522217502637,-0.929547236009917,0.397163431854684,0.194780736363996
,72,-0.387808620771522,-1.2361495005758,1.04385765161119,-1.27209979086347,-1.52646040525809,0.132410375527834
,73,1.24113236964594,-1.2361495005758,1.33008318867797,-0.993910704611424,-1.52646040525809,-0.676809973548866
,74,-1.19463806014806,-0.842461334264346,-0.159558316901167,-0.739573060148483,0.0451430535206738,-0.112833557623906
,75,-0.917441473096242,0.108974562100149,0.500035270595977,-0.397020505294927,0.0451430535206738,0.67942759596142
,76,1.50658671659615,-0.941200593972186,1.33008318867797,0.15062369911232,-1.24142431545779,0.929386430737551
,77,1.50658671659615,-0.418596831864534,1.33008318867797,1.29952508688449,-0.591913414613634,0.673024308800493
,78,0.127722757917022,0.630778528581464,0.0394778754776701,-0.974902068816044,0.685248778515096,-0.337317292545365
,79,0.975078409902122,0.689199197473605,-0.746267544423306,0.493176253965876,1.32866116563902,-1.15505354598536
,80,0.459846837610388,-2.1985734903325,-0.518635436434541,0.493176253965876,-2.14916662776464,-0.963664069306487
,81,-0.930759361170356,-2.1875853969403,-0.776199502874575,1.57334718908811,-1.52646040525809,-0.420447851611808
,82,-0.623879382421166,0.72429712238047,1.33008318867797,-0.123198403091304,1.3460606681269,0.991756791573713
