Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Case ID;Attitude Toward Local Brand (STLB);Consumer Ethnocentrism (CET);Gov. Buy Local Campaign Effectiveness (PBLCE);Local Fashion Brand Love (LFBL);Perceived Price Fairness (PPF);Perceived Product Quality (PPQ);;;;;;;;;;;;;
198;1,422;1,156;0,323;1,530;0,835;-0,085;;;;;;;;;;;;;
199;-0,063;0,381;-0,463;-0,118;0,884;1,492;;;;;;;;;;;;;
200;-0,786;-0,364;-0,067;0,397;-0,040;-0,085;;;;;;;;;;;;;
201;-0,020;1,591;1,052;0,483;1,518;-2,392;;;;;;;;;;;;;
202;-1,031;-0,099;-0,176;0,211;0,314;0,433;;;;;;;;;;;;;
203;-1,272;-0,099;-0,962;0,151;0,314;-0,085;;;;;;;;;;;;;
204;-0,259;0,617;-3,117;1,262;1,195;0,724;;;;;;;;;;;;;
205;0,629;-0,263;1,294;-0,632;-0,717;1,209;;;;;;;;;;;;;
206;-0,748;-0,364;-0,158;-0,446;-0,040;-0,887;;;;;;;;;;;;;
207;0,731;0,306;1,294;0,151;-0,040;0,158;;;;;;;;;;;;;
208;1,422;0,041;1,294;-0,412;-0,394;-0,335;;;;;;;;;;;;;
209;1,422;1,054;1,294;-0,118;0,891;-0,045;;;;;;;;;;;;;
210;-0,547;-0,136;1,052;-0,118;-0,642;0,677;;;;;;;;;;;;;
211;0,203;0,476;0,810;0,799;0,289;1,492;;;;;;;;;;;;;
212;-0,063;0,136;-0,176;-0,987;-0,369;0,442;;;;;;;;;;;;;
213;-0,063;-0,099;-0,176;0,639;0,314;0,199;;;;;;;;;;;;;
214;1,422;-0,979;-2,848;0,444;-1,598;-0,368;;;;;;;;;;;;;
215;-0,297;-0,092;-0,176;1,530;0,232;-0,120;;;;;;;;;;;;;
216;-0,568;0,479;-1,537;1,262;0,916;-0,085;;;;;;;;;;;;;
217;0,182;0,342;-1,647;-1,497;0,916;1,492;;;;;;;;;;;;;
218;0,199;0,476;-0,705;-0,364;0,909;1,209;;;;;;;;;;;;;
219;-1,031;0,182;-0,444;0,445;0,512;-0,085;;;;;;;;;;;;;
220;-2,005;0,251;-0,176;0,748;1,518;0,197;;;;;;;;;;;;;
221;-1,063;-0,240;-1,624;-0,114;-0,592;0,717;;;;;;;;;;;;;
222;-0,063;0,306;0,432;0,968;-0,040;0,682;;;;;;;;;;;;;
223;-0,285;0,306;1,052;0,985;-0,040;-0,085;;;;;;;;;;;;;
224;1,156;1,316;1,294;-1,229;1,238;0,197;;;;;;;;;;;;;
225;-0,999;0,081;-0,176;0,665;1,189;-2,674;;;;;;;;;;;;;
226;-0,754;-0,410;0,508;-0,386;-0,922;-0,368;;;;;;;;;;;;;
227;1,422;1,591;1,294;1,262;1,518;-0,855;;;;;;;;;;;;;
228;1,422;0,306;1,294;1,262;-0,040;0,676;;;;;;;;;;;;;
229;0,172;0,306;0,144;1,020;-0,040;-0,085;;;;;;;;;;;;;
230;0,857;0,921;-0,726;-0,658;1,518;0,171;;;;;;;;;;;;;
231;0,416;-0,364;-0,509;1,530;-0,040;0,967;;;;;;;;;;;;;
232;-0,813;-0,599;-0,766;-0,096;0,643;0,197;;;;;;;;;;;;;
233;-0,525;0,211;1,294;0,129;0,555;0,158;;;;;;;;;;;;;
234;-0,515;-1,649;-1,295;1,236;-1,598;-0,368;;;;;;;;;;;;;
235;-0,313;-1,603;-1,537;-0,143;-0,717;0,967;;;;;;;;;;;;;
